audit_id,item_type,standard_reference,implementation_status,test_status,validation_status,implementation_target,test_file,validation_case,comments
SP16-EQ-026,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq26,tests/test_local_stability.py,V11-SP16-EQ-026,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-027,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq27,tests/test_local_stability.py,V11-SP16-EQ-027,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-028,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq28,tests/test_local_stability.py,V11-SP16-EQ-028,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-029,equation,7.3.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:wall_slenderness_limit_eq29,tests/test_local_stability.py,V11-SP16-EQ-029,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-030,equation,7.3.4,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:longitudinal_stiffener_wall_limit_multiplier_eq30,tests/test_local_stability.py,V11-SP16-EQ-030,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-031,equation,7.3.6,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:reduced_area_i_or_channel_eq31,tests/test_local_stability.py,V11-SP16-EQ-031,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-032,equation,7.3.6,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:reduced_area_box_central_eq32,tests/test_local_stability.py,V11-SP16-EQ-032,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-033,equation,7.3.6,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:reduced_area_box_eccentric_eq33,tests/test_local_stability.py,V11-SP16-EQ-033,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-034,equation,7.3.6,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:reduced_web_height_i_section_eq34,tests/test_local_stability.py,V11-SP16-EQ-034,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-035,equation,7.3.6,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:reduced_plate_dimension_box_eq35,tests/test_local_stability.py,V11-SP16-EQ-035,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-036,equation,7.3.6,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:reduced_web_height_channel_eq36,tests/test_local_stability.py,V11-SP16-EQ-036,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-037,equation,7.3.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:flange_slenderness_limit_eq37,tests/test_local_stability.py,V11-SP16-EQ-037,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-038,equation,7.3.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:flange_slenderness_limit_eq38,tests/test_local_stability.py,V11-SP16-EQ-038,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-039,equation,7.3.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:flange_slenderness_limit_eq39,tests/test_local_stability.py,V11-SP16-EQ-039,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-040,equation,7.3.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/local_stability.py:flange_slenderness_limit_eq40,tests/test_local_stability.py,V11-SP16-EQ-040,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-041,equation,8.2.1,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:elastic_bending_utilization_eq41,tests/test_bending_members.py,V11-SP16-EQ-041,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-042,equation,8.2.1,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:elastic_shear_utilization_eq42,tests/test_bending_members.py,V11-SP16-EQ-042,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-043,equation,8.2.1,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:elastic_combined_normal_utilization_eq43,tests/test_bending_members.py,V11-SP16-EQ-043,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-044,equation,8.2.1,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:elastic_web_equivalent_stress_checks_eq44,tests/test_bending_members.py,V11-SP16-EQ-044,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-045,equation,8.2.1,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:bolt_hole_factor_eq45,tests/test_bending_members.py,V11-SP16-EQ-045,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-046,equation,8.2.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:local_web_compression_utilization_eq46,tests/test_bending_members.py,V11-SP16-EQ-046,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-047,equation,8.2.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:local_web_compression_stress_eq47,tests/test_bending_members.py,V11-SP16-EQ-047,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-048,equation,8.2.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:effective_load_length_eq48,tests/test_bending_members.py,V11-SP16-EQ-048,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-049,equation,8.2.2,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:effective_load_length_crane_eq49,tests/test_bending_members.py,V11-SP16-EQ-049,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-050,equation,8.2.3,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:plastic_bending_utilization_eq50,tests/test_bending_members.py,V11-SP16-EQ-050,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-051,equation,8.2.3,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:plastic_biaxial_bending_utilization_eq51,tests/test_bending_members.py,V11-SP16-EQ-051,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-052,equation,8.2.3,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:plastic_shear_reduction_factor_eq52,tests/test_bending_members.py,V11-SP16-EQ-052,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-053,equation,8.2.3,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:constrained_torsion_utilization_eq53,tests/test_bending_members.py,V11-SP16-EQ-053,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-054,equation,8.2.3,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:support_shear_x_utilization_eq54,tests/test_bending_members.py,V11-SP16-EQ-054,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-055,equation,8.2.3,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:support_shear_y_utilization_eq55,tests/test_bending_members.py,V11-SP16-EQ-055,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-056,equation,8.2.5,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:redistributed_design_moment_eq56,tests/test_bending_members.py,V11-SP16-EQ-056,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-057,equation,8.2.5,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:effective_moment_hinged_end_eq57,tests/test_bending_members.py,V11-SP16-EQ-057,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-058,equation,8.2.5,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:effective_moment_intermediate_span_eq58,tests/test_bending_members.py,V11-SP16-EQ-058,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-059,equation,8.2.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:bimetal_bending_utilization_eq59,tests/test_bending_members.py,V11-SP16-EQ-059,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-060,equation,8.2.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:bimetal_biaxial_bending_utilization_eq60,tests/test_bending_members.py,V11-SP16-EQ-060,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-061,equation,8.2.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:bimetal_major_axis_coefficient_eq61,tests/test_bending_members.py,V11-SP16-EQ-061,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-062,equation,8.2.8,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,standard_core/bending_members.py:bimetal_shear_reduction_factor_eq62,tests/test_bending_members.py,V11-SP16-EQ-062,"Formula, branch conditions, symbols, and sign convention visually verified against supplied PDF pages 27-32; linked applicability gates remain explicit."
SP16-EQ-063,equation,8.3.3,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:crane_runway_equivalent_stress_utilization_eq63,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-063,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-064,equation,8.3.3,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:crane_runway_longitudinal_normal_utilization_eq64,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-064,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-065,equation,8.3.3,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:crane_runway_transverse_normal_utilization_eq65,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-065,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-066,equation,8.3.3,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:crane_runway_shear_utilization_eq66,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-066,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-067,equation,8.3.3,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:crane_runway_stress_components_eq67,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-067,Visually verified against supplied PDF pages 33; implemented in v0.7.
SP16-EQ-068,equation,8.3.3,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:crane_runway_local_torsional_moment_eq68,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-068,Visually verified against supplied PDF pages 33; implemented in v0.7.
SP16-EQ-069,equation,8.4.1,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:lateral_torsional_stability_utilization_eq69,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-069,Visually verified against supplied PDF pages 34; implemented in v0.7.
SP16-EQ-070,equation,8.4.1,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:lateral_torsional_combined_utilization_eq70,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-070,Visually verified against supplied PDF pages 34; implemented in v0.7.
SP16-EQ-071,equation,8.4.4,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:table_11_limit_eq71,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-071,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-072,equation,8.4.4,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:table_11_limit_eq72,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-072,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-073,equation,8.4.4,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:table_11_limit_eq73,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-073,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-074,equation,8.4.5,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:compressed_flange_equivalent_force_eq74,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-074,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-075,equation,8.4.5,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:continuous_bracing_force_per_length_eq75,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-075,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-076,equation,8.4.6,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:class_2_3_stability_reduction_eq76,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-076,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-077,equation,8.4.6,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,standard_core/crane_runway_and_bending_stability.py:class_2_3_coefficient_eq77,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-077,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-078,equation,8.5.2,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-078,standard_core/bending_member_local_stability.py:bending_normal_stress_eq78,tests/test_bending_member_local_stability.py,V11-SP16-EQ-078,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-079,equation,8.5.2,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-079,standard_core/bending_member_local_stability.py:average_web_shear_stress_eq79,tests/test_bending_member_local_stability.py,V11-SP16-EQ-079,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-080,equation,8.5.3,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-080,standard_core/bending_member_local_stability.py:symmetric_web_buckling_utilization_eq80,tests/test_bending_member_local_stability.py,V11-SP16-EQ-080,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-081,equation,8.5.3,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-081,standard_core/bending_member_local_stability.py:critical_normal_web_stress_eq81,tests/test_bending_member_local_stability.py,V11-SP16-EQ-081,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-082,equation,8.5.3,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-082,standard_core/bending_member_local_stability.py:critical_local_web_stress_eq82,tests/test_bending_member_local_stability.py,V11-SP16-EQ-082,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-083,equation,8.5.3,implemented,tests/test_bending_member_local_stability.py,implementation_self_check_BLS-EQ-083,standard_core/bending_member_local_stability.py:critical_web_shear_stress_eq83,tests/test_bending_member_local_stability.py,V11-SP16-EQ-083,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
