audit_id,standard,clause,annex,page,table_number,table_title,topic,normative_status,planned_module,implementation_status,test_status,comments
SP16-TBL-11,СП 16.13330.2017 «Стальные конструкции»,8.4.4,,35,11,"Расчетная таблица к п. 8.4.4: Устойчивость балок 1-го класса, а также бистальных балок 2-го класса проверять не требуется а) при передаче нагрузки на балку через сплошной жесткий…",members in bending,normative reference table,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/table_11_lateral_torsional_slenderness_limits.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-12,СП 16.13330.2017 «Стальные конструкции»,8.5.4,,38,12,Расчетная таблица к п. 8.5.4: Для балок по 8.5.3 при от вида поясных соединений и значения коэффициента,members in bending,normative reference table,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/table_12_web_buckling_c_cr.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-13,СП 16.13330.2017 «Стальные конструкции»,8.5.4,,38,13,Расчетная таблица к п. 8.5.4: Для балок по 8.5.3 при от вида поясных соединений и значения коэффициента,members in bending,normative reference table,standard_core/crane_runway_and_bending_stability.py,implemented_as_data,existence_lookup_value_consistency_tested,Visually transcribed into data/table_13_compressed_flange_beta.json and exposed through audited lookup/calculation functions in v0.7.
SP16-TBL-14,СП 16.13330.2017 «Стальные конструкции»,8.5.5,,39,14,Table 14: bending-member web local-stability coefficients and stiffener requirements,members in bending,normative reference table,data/tables_14_to_19_bending_local_stability.json,implemented_as_data,tests/test_bending_member_local_stability.py,All printed nodes and terminal rules were visually transcribed. No unstated interpolation is used; Table 19 required longitudinal inertia uses the explicitly stated linear interpolation.
SP16-TBL-15,СП 16.13330.2017 «Стальные конструкции»,8.5.5,,39,15,Table 15: bending-member web local-stability coefficients and stiffener requirements,members in bending,normative reference table,data/tables_14_to_19_bending_local_stability.json,implemented_as_data,tests/test_bending_member_local_stability.py,All printed nodes and terminal rules were visually transcribed. No unstated interpolation is used; Table 19 required longitudinal inertia uses the explicitly stated linear interpolation.
SP16-TBL-16,СП 16.13330.2017 «Стальные конструкции»,8.5.5,,40,16,Table 16: bending-member web local-stability coefficients and stiffener requirements,members in bending,normative reference table,data/tables_14_to_19_bending_local_stability.json,implemented_as_data,tests/test_bending_member_local_stability.py,All printed nodes and terminal rules were visually transcribed. No unstated interpolation is used; Table 19 required longitudinal inertia uses the explicitly stated linear interpolation.
SP16-TBL-17,СП 16.13330.2017 «Стальные конструкции»,8.5.7,,41,17,Table 17: bending-member web local-stability coefficients and stiffener requirements,members in bending,normative reference table,data/tables_14_to_19_bending_local_stability.json,implemented_as_data,tests/test_bending_member_local_stability.py,All printed nodes and terminal rules were visually transcribed. No unstated interpolation is used; Table 19 required longitudinal inertia uses the explicitly stated linear interpolation.
SP16-TBL-18,СП 16.13330.2017 «Стальные конструкции»,8.5.8,,41,18,Table 18: bending-member web local-stability coefficients and stiffener requirements,members in bending,normative reference table,data/tables_14_to_19_bending_local_stability.json,implemented_as_data,tests/test_bending_member_local_stability.py,All printed nodes and terminal rules were visually transcribed. No unstated interpolation is used; Table 19 required longitudinal inertia uses the explicitly stated linear interpolation.
SP16-TBL-19,СП 16.13330.2017 «Стальные конструкции»,8.5.15,,45,19,Table 19: bending-member web local-stability coefficients and stiffener requirements,members in bending,normative reference table,data/tables_14_to_19_bending_local_stability.json,implemented_as_data,tests/test_bending_member_local_stability.py,All printed nodes and terminal rules were visually transcribed. No unstated interpolation is used; Table 19 required longitudinal inertia uses the explicitly stated linear interpolation.
SP16-TBL-20,СП 16.13330.2017 «Стальные конструкции»,9.2.3,,49,20,Расчетная таблица к п. 9.2.3: Расчетные значения продольной силы N и изгибающего момента М в элементе следует принимать для одного и,members under axial force and bending,normative reference table,data/table_20_effective_moment_rules.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-21,СП 16.13330.2017 «Стальные конструкции»,9.2.5,,50,21,Расчетная таблица к п. 9.2.5: Коэффициент с в формуле (111) следует определять при значениях,members under axial force and bending,normative reference table,data/table_21_out_of_plane_coefficients.json,implemented_as_data,passed: tests/test_beam_column_stability.py,Visually transcribed as audited JSON/formula metadata. Exact printed-node lookup is used where the standard states no interpolation rule; diagram classification remains explicit.
SP16-TBL-22,СП 16.13330.2017 «Стальные конструкции»,9.4.2,,55,22,Limiting relative web slenderness under axial force and bending,combined local stability,normative formula table,standard_core/built_up_beam_columns_and_combined_local_stability.py,implemented_as_data,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,Formula catalogue and notes stored in data/table_22_combined_web_slenderness_limits.json; formula execution is in the v0.11 module.
SP16-TBL-23,СП 16.13330.2017 «Стальные конструкции»,9.4.7,,57,23,Limiting relative flange slenderness under axial force and bending,combined local stability,normative formula table,standard_core/built_up_beam_columns_and_combined_local_stability.py,implemented_as_data,passed: tests/test_built_up_beam_columns_and_combined_local_stability.py,Formula catalogue and notes stored in data/table_23_combined_flange_slenderness_limits.json; formula execution is in the v0.11 module.
SP16-TBL-24,СП 16.13330.2017 «Стальные конструкции»,10.1.1,,59,24,"Расчетная таблица к п. 10.1.1: Расчетные длины сжатых элементов плоских ферм и связей в их плоскости а), б), в), г), за исключением элементов, указанных в 10.1.2 и 10.1.3, следует…",effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-25,СП 16.13330.2017 «Стальные конструкции»,10.1.3,,60,25,"Расчетная таблица к п. 10.1.3: Расчетные длины скрепленных между собой (см. рисунок 13, д), следует принимать по таблице 25. Определять расчетные длины",effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-26,СП 16.13330.2017 «Стальные конструкции»,10.2.1,,61,26,Расчетная таблица к п. 10.2.1: Расчетные длины геометрическая длина элемента - расстояние между центрами узлов структурных конструкций),effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-27,СП 16.13330.2017 «Стальные конструкции»,10.2.4,,63,27,"Расчетная таблица к п. 10.2.4: Для определения расчетных длин раскосов по рисунку 15, в, при прикреплении их без фасонок к распорке и",effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-28,СП 16.13330.2017 «Стальные конструкции»,10.2.5,,64,28,Расчетная таблица к п. 10.2.5: Расчетные длины 10.1.1-10.1.3,effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-29,СП 16.13330.2017 «Стальные конструкции»,10.2.5,,65,29,Расчетная таблица к п. 10.2.5: Расчетные длины 10.1.1-10.1.3,effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-30,СП 16.13330.2017 «Стальные конструкции»,10.3.3,,66,30,Расчетная таблица к п. 10.3.3: Коэффициенты расчетной длины условий закрепления их концов и вида нагрузки. Для определенных схем закрепления концов и вида нагрузки значения,effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-31,СП 16.13330.2017 «Стальные конструкции»,10.3.4,,66,31,Расчетная таблица к п. 10.3.4: Коэффициенты расчетной длины m колонн постоянного сечения в плоскости свободных или несвободных рам,effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-32,СП 16.13330.2017 «Стальные конструкции»,10.4.1,,70,32,Расчетная таблица к п. 10.4.1: Гибкости элементов сжатых элементов и в таблице 33 - для растянутых,effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-33,СП 16.13330.2017 «Стальные конструкции»,10.4.1,,71,33,Расчетная таблица к п. 10.4.1: Гибкости элементов сжатых элементов и в таблице 33 - для растянутых,effective lengths and limiting slenderness,normative reference table,standard_core/effective_lengths_and_limiting_slenderness.py,implemented_as_data,passed,Visually transcribed from Section 10 pages 59-72 into data/tables_24_to_33_effective_lengths.json; lookup and stated interpolation rules tested.
SP16-TBL-34,СП 16.13330.2017 «Стальные конструкции»,11.2.1,,74,34,Coefficient c for axial stability of closed circular cylindrical shells,plate and shell structures,normative reference table,standard_core/sheet_structures_strength_and_stability.py,implemented_as_data,passed: tests/test_sheet_structures_strength_and_stability.py,All nine printed r/t nodes were visually transcribed. Exact-node lookup only because no interpolation rule is stated.
SP16-TBL-35,СП 16.13330.2017 «Стальные конструкции»,12.1.2,,78,35,Расчетная таблица к п. 12.1.2: Расчет на усталость следует производить по формуле,fatigue,normative reference table,standard_core/fatigue_design.py,implemented_as_data,passed: tests/test_fatigue_design.py,Visually transcribed and stored in data/table_35_fatigue_resistance.json; no unstated interpolation or geometry recognition.
SP16-TBL-36,СП 16.13330.2017 «Стальные конструкции»,12.1.2,,79,36,Расчетная таблица к п. 12.1.2: Расчет на усталость следует производить по формуле,fatigue,normative reference table,standard_core/fatigue_design.py,implemented_as_data,passed: tests/test_fatigue_design.py,Visually transcribed and stored in data/table_36_fatigue_asymmetry_factor.json; no unstated interpolation or geometry recognition.
SP16-TBL-37,СП 16.13330.2017 «Стальные конструкции»,13.5,,81,37,"Расчетная таблица к п. 13.5: Возможность слоистого разрушения исключается соблюдением условия где - суммарный фактор риска, %",brittle fracture and welded connections,normative reference table,standard_core/brittle_fracture_and_welded_connections.py,implemented_as_data,passed: tests/test_brittle_fracture_and_welded_connections.py,Visually transcribed and stored in data/table_37_lamellar_tearing_risk_factors.json; only printed branches and explicitly stated interpolation rules are used.
SP16-TBL-38,СП 16.13330.2017 «Стальные конструкции»,14.1.7,,84,38,Расчетная таблица к п. 14.1.7: Размеры сварных угловых швов и конструкция соединения должны удовлетворять следующим требованиям,brittle fracture and welded connections,normative reference table,standard_core/brittle_fracture_and_welded_connections.py,implemented_as_data,passed: tests/test_brittle_fracture_and_welded_connections.py,Visually transcribed and stored in data/table_38_minimum_fillet_weld_legs.json; only printed branches and explicitly stated interpolation rules are used.
SP16-TBL-39,СП 16.13330.2017 «Стальные конструкции»,14.1.7,,85,39,Расчетная таблица к п. 14.1.7: Размеры сварных угловых швов и конструкция соединения должны удовлетворять следующим требованиям,brittle fracture and welded connections,normative reference table,standard_core/brittle_fracture_and_welded_connections.py,implemented_as_data,passed: tests/test_brittle_fracture_and_welded_connections.py,Visually transcribed and stored in data/table_39_fillet_weld_coefficients.json; only printed branches and explicitly stated interpolation rules are used.
SP16-TBL-40,СП 16.13330.2017 «Стальные конструкции»,14.2.8,,90,40,Расчетная таблица к п. 14.2.8: Диаметр отверстия для болтов в элементах из проката должен соответствовать примечанию 1 таблицы 40,bolted and friction connections,normative reference table,data/table_40_bolt_spacing.json,implemented_as_data,tests/test_bolted_and_friction_connections.py,All printed values and stated boundary rules visually transcribed; interpolation is limited to explicitly documented routes.
SP16-TBL-41,СП 16.13330.2017 «Стальные конструкции»,14.2.9,,92,41,"Расчетная таблица к п. 14.2.9: Расчетное усилие, которое может быть воспринято одним болтом, в зависимости от вида напряженного",bolted and friction connections,normative reference table,data/table_41_bolted_connection_working_factors.json,implemented_as_data,tests/test_bolted_and_friction_connections.py,All printed values and stated boundary rules visually transcribed; interpolation is limited to explicitly documented routes.
SP16-TBL-42,СП 16.13330.2017 «Стальные конструкции»,14.3.3,,94,42,"Расчетная таблица к п. 14.3.3: Расчетное усилие, которое может быть воспринято каждой плоскостью трения элементов, стянутых одним",bolted and friction connections,normative reference table,data/table_42_friction_connection_coefficients.json,implemented_as_data,tests/test_bolted_and_friction_connections.py,All printed values and stated boundary rules visually transcribed; interpolation is limited to explicitly documented routes.
SP16-TBL-43,СП 16.13330.2017 «Стальные конструкции»,14.4.1,,96,43,Flange-connection formulas for built-up beams under stationary and moving loads,built-up beam flange connections,normative reference table,standard_core/built_up_beam_flange_connections.py,implemented_as_data,passed: tests/test_built_up_beam_flange_connections.py,Visually transcribed from supplied PDF pages 96-97 and stored in data/table_43_built_up_beam_flange_connections.json.
SP16-TBL-44,СП 16.13330.2017 «Стальные конструкции»,15.1,,97,44,Наибольшие расстояния между температурными швами и до ближайшей вертикальной связи,building and structural detailing requirements,normative reference table,standard_core/structural_detailing_and_support_bearings.py,implemented_as_data,passed: tests/test_structural_detailing_and_support_bearings.py,All eight printed rows and the two-bracing note were visually transcribed from PDF pages 97-98. Temperature branch changes at -45 °C; no interpolation is stated.
SP16-TBL-45,СП 16.13330.2017 «Стальные конструкции»,16.4,,109,45,"Расчетная таблица к п. 16.4: При расчетах опор ВЛ, конструкций ОРУ и КС следует принимать коэффициенты условий работы установленные в 7.1.2, разделах 4 и 14 и по таблице 45",overhead-line and switchyard support structures,normative reference table,data/table_45_overhead_line_working_conditions.json,implemented_as_data,passed: tests/test_overhead_line_and_switchyard_supports.py,All eight printed rows transcribed; exact categorical lookup; coefficients do not apply to node connections.
SP16-TBL-46,СП 16.13330.2017 «Стальные конструкции»,16.15,,113,46,"Расчетная таблица к п. 16.15: Отклонения верха опор и прогибы траверс не должны превышать значений, приведенных в таблице 46",overhead-line and switchyard support structures,normative reference table,data/table_46_support_deformation_limits.json,implemented_as_data,passed: tests/test_overhead_line_and_switchyard_supports.py,All eight printed rows and notes transcribed; numerical values are denominators of relative limits 1/n.
SP16-TBL-47,СП 16.13330.2017 «Стальные конструкции»,17.6,,116,47,Коэффициенты условий работы элементов конструкций антенных сооружений,antenna structures,normative reference table,standard_core/antenna_structures.py,implemented_as_data,all_rows_exact_lookup_tested,All 13 printed categorical rows visually transcribed from PDF page 116 to data/table_47_antenna_structure_working_conditions.json; no interpolation.
SP16-TBL-48,СП 16.13330.2017 «Стальные конструкции»,18.2.7,,120,48,Design resistances of existing riveted connections,reconstruction and strengthening,normative reference table,standard_core/reconstruction_assessment.py,implemented_as_data,all_rows_and_head_reduction_rules_tested,"All seven printed resistance entries/expressions, group definitions and the 0.8 countersunk-head rule were visually transcribed from PDF page 120 to data/table_48_riveted_connection_resistances.json."
SP16-TBL-Б-1,СП 16.13330.2017 «Стальные конструкции»,Приложение Б,Б,131,Б.1,Физические характеристики материалов для стальных конструкций,annex Б reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/material_resistance.py,implemented_as_data,passed: tests/test_stage_n1_material_strength.py,"Stage N1 current-source materialization from locked Changes 1–6 source; exact rows/bounds, fail-closed lookup. data/annex_b1_physical_properties.json"
SP16-TBL-Б-2,СП 16.13330.2017 «Стальные конструкции»,Приложение Б,Б,132,Б.2,Физические характеристики проводов и проволоки,annex Б reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-В-1,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,134,В.1,Нормируемые показатели ударной вязкости проката и труб,annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-В-2,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,135,В.2,Требования по химическому составу,annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-В-3,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,135,В.3,"Нормативные и расчетные сопротивления при растяжении, сжатии и изгибе листового, широкополосного",annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/material_resistance.py,implemented_as_data,passed: tests/test_stage_n1_material_strength.py,"Stage N1 current-source materialization from locked Changes 1–6 source; exact rows/bounds, fail-closed lookup. data/annex_v3_strength_resistances.json"
SP16-TBL-В-4,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,137,В.4,"Нормативные и расчетные сопротивления при растяжении, сжатии и изгибе фасонного проката в виде",annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/material_resistance.py,implemented_as_data,passed: tests/test_stage_n1_material_strength.py,"Stage N1 current-source materialization from locked Changes 1–6 source; exact rows/bounds, fail-closed lookup. data/annex_v4_parallel_flange_i_strength_resistances.json"
SP16-TBL-В-5,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,139,В.5,"Нормативные и расчетные сопротивления при растяжении, сжатии и изгибе фасонного проката",annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/material_resistance.py,implemented_as_data,passed: tests/test_stage_n1_material_strength.py,"Stage N1 current-source materialization from locked Changes 1–6 source; exact rows/bounds, fail-closed lookup. data/annex_v5_shaped_strength_resistances.json"
SP16-TBL-В-6,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,141,В.6,"Расчетные сопротивления проката смятию торцевой поверхности, местному смятию в цилиндрических",annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-В-7,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,142,В.7,Расчетные сопротивления отливок из углеродистой стали,annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-В-8,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,142,В.8,Расчетные сопротивления отливок из серого чугуна,annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-В-9,СП 16.13330.2017 «Стальные конструкции»,Приложение В,В,143,В.9,Характеристики сталей для обобщенной расчетной диаграммы работы (см. рисунок В.1),annex В reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-1,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,145,Г.1,"Материалы для сварки, соответствующие стали",annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-2,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,146,Г.2,Нормативные и расчетные сопротивления металла швов сварных соединений с угловыми швами,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-3,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,146,Г.3,Требования к болтам при различных условиях их применения,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-4,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,147,Г.4,Стали фундаментных болтов и условия их применения,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-5,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,148,Г.5,Нормативные сопротивления стали болтов и расчетные сопротивления одноболтовых соединений срезу и,annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
SP16-TBL-Г-6,СП 16.13330.2017 «Стальные конструкции»,Приложение Г,Г,148,Г.6,"Расчетные сопротивления смятию элементов, соединяемых болтами",annex Г reference data,annex reference table; annex status not explicitly labelled in supplied PDF,standard_core/annex_data.py,external_reference_required,not_applicable_external_reference,"Reconstructed v0.22 boundary: historical audited numeric transcription is unavailable. Use the supplied normative source directly; no interpolation, extrapolation, or incomplete raw-text table is presented as implemented data. See data/annex_reconstruction_catalog_v0_22.json."
