audit_id,standard,clause,annex,page,equation_number,topic,normative_status,short_description,input_variables,output_variables,units,time_basis,planned_module,planned_function,implementation_status,test_status,validation_status,comments
SP16-EQ-012,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.3,,18,12,centrally tensioned and compressed members,normative calculation expression,Effective slenderness of battened built-up section type 1.,whole_member_slenderness_y; branch_slenderness_1; branch_inertia_axis_1_mm4; branch_axis_spacing_b_mm; batten_inertia_mm4; batten_pitch_mm,effective_slenderness,dimensionless,not_applicable,standard_core/built_up_axial_members.py,battened_effective_slenderness_type_1,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-013,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.3,,18,13,centrally tensioned and compressed members,normative calculation expression,Effective slenderness of battened built-up section type 2.,whole_member_max_slenderness; branch_slenderness_1; branch_slenderness_2; branch inertias; branch spacings; batten inertias; batten_pitch_mm,effective_slenderness,dimensionless,not_applicable,standard_core/built_up_axial_members.py,battened_effective_slenderness_type_2,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-014,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.3,,18,14,centrally tensioned and compressed members,normative calculation expression,Effective slenderness of battened built-up section type 3.,whole_member_max_slenderness; branch_slenderness_3; branch_inertia_axis_3_mm4; branch_axis_spacing_b_mm; batten_inertia_mm4; batten_pitch_mm,effective_slenderness,dimensionless,not_applicable,standard_core/built_up_axial_members.py,battened_effective_slenderness_type_3,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-015,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.5,,18,15,centrally tensioned and compressed members,normative calculation expression,Effective slenderness of lattice built-up section type 1.,whole_member_slenderness_y; total_area_mm2; diagonal_area_plane_1_mm2; diagonal_length_d_mm; branch_axis_spacing_b_mm; panel_length_mm,effective_slenderness,dimensionless,not_applicable,standard_core/built_up_axial_members.py,lattice_effective_slenderness_type_1,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-016,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.5,,18,16,centrally tensioned and compressed members,normative calculation expression,Effective slenderness of lattice built-up section type 2.,whole_member_max_slenderness; total_area_mm2; diagonal areas; diagonal lengths; branch spacings; panel_length_mm,effective_slenderness,dimensionless,not_applicable,standard_core/built_up_axial_members.py,lattice_effective_slenderness_type_2,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-017,СП 16.13330.2017 «Стальные конструкции»,7.2.2-7.2.5,,18,17,centrally tensioned and compressed members,normative calculation expression,Effective slenderness of lattice built-up section type 3.,whole_member_max_slenderness; total_area_mm2; diagonal_area_one_face_mm2; diagonal_length_d_mm; branch_axis_spacing_b_mm; panel_length_mm,effective_slenderness,dimensionless,not_applicable,standard_core/built_up_axial_members.py,lattice_effective_slenderness_type_3,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-018,СП 16.13330.2017 «Стальные конструкции»,7.2.7,,20,18,centrally tensioned and compressed members,normative calculation expression,Fictitious transverse force for battens and lattice elements.,axial_force_n; elastic_modulus_n_mm2; design_yield_resistance_n_mm2; stability_coefficient_phi,fictitious_shear_force_n,N,not_applicable,standard_core/built_up_axial_members.py,fictitious_shear_force_n,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-019,СП 16.13330.2017 «Стальные конструкции»,7.2.8,,21,19,centrally tensioned and compressed members,normative calculation expression,Shear force acting on one batten.,one_face_fictitious_shear_n; batten_pitch_mm; branch_axis_spacing_mm,batten_shear_force_n,N,not_applicable,standard_core/built_up_axial_members.py,batten_shear_force_n,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-020,СП 16.13330.2017 «Стальные конструкции»,7.2.8,,21,20,centrally tensioned and compressed members,normative calculation expression,In-plane bending moment acting on one batten.,one_face_fictitious_shear_n; batten_pitch_mm,batten_bending_moment_n_mm,N*mm,not_applicable,standard_core/built_up_axial_members.py,batten_bending_moment_n_mm,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-021,СП 16.13330.2017 «Стальные конструкции»,7.2.9,,21,21,centrally tensioned and compressed members,normative calculation expression,Axial force in a lattice diagonal due to one-plane fictitious shear.,one_plane_fictitious_shear_n; diagonal_length_d_mm; branch_axis_spacing_b_mm; lattice_force_coefficient_alpha_1,lattice_diagonal_force_n,N,not_applicable,standard_core/built_up_axial_members.py,lattice_diagonal_force_n,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-022,СП 16.13330.2017 «Стальные конструкции»,7.2.9,,21,22,centrally tensioned and compressed members,normative calculation expression,Additional force in each diagonal of cross lattice with struts due to branch shortening.,one_branch_force_n; one_diagonal_area_mm2; one_branch_area_mm2; coefficient_alpha_2,additional_diagonal_force_n,N,not_applicable,standard_core/built_up_axial_members.py,cross_lattice_additional_diagonal_force_n,implemented,normal_zero_or_boundary_unit_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Formula and symbols visually verified against supplied PDF pages 18-21; no unprinted coefficient or interpolation rule was invented.
SP16-EQ-023,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,22,23,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 group 1 limiting web slenderness for member relative slenderness not exceeding 2.,member_relative_slenderness,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq23,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-024,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,22,24,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 group 1 capped limiting web slenderness above member relative slenderness 2.,member_relative_slenderness,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq24,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-025,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,23,25,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 group 2 constant limiting web slenderness at member relative slenderness not exceeding 1.,member_relative_slenderness,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq25,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-026,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,23,26,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 group 2 capped limiting web slenderness above member relative slenderness 1.,member_relative_slenderness,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq26,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-027,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,23,27,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 group 3 constant limiting web slenderness at member relative slenderness not exceeding 0.8.,member_relative_slenderness,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq27,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-028,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,23,28,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 group 3 capped limiting web slenderness above member relative slenderness 0.8.,member_relative_slenderness,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq28,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-029,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,23,29,local stability of centrally compressed solid-section members,normative calculation expression,Table 9 T-section web-slenderness limit with flange-width to web-height ratio.,member_relative_slenderness; tee_flange_width_mm; effective_web_height_mm,limiting_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,wall_slenderness_limit_eq29,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-030,СП 16.13330.2017 «Стальные конструкции»,7.3.4,,24,30,local stability of centrally compressed solid-section members,normative calculation expression,Multiplier for the Table 9 web limit when a mid-depth longitudinal stiffener is provided.,longitudinal_stiffener_inertia_mm4; effective_web_height_mm; web_thickness_mm,longitudinal_stiffener_multiplier_beta,dimensionless,not_applicable,standard_core/local_stability.py,longitudinal_stiffener_wall_limit_multiplier_eq30,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-031,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,24,31,local stability of centrally compressed solid-section members,normative calculation expression,Reduced design area for I- and channel-section members.,gross_area_mm2; effective_web_height_mm; reduced_web_height_mm; web_thickness_mm,reduced_area_mm2,mm2,not_applicable,standard_core/local_stability.py,reduced_area_i_or_channel_eq31,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-032,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,24,32,local stability of centrally compressed solid-section members,normative calculation expression,Reduced design area for a centrally compressed box section.,gross_area_mm2; effective_web_height_mm; reduced_web_height_mm; web_thickness_mm; effective_flange_plate_width_mm; reduced_flange_plate_width_mm; flange_thickness_mm,reduced_area_mm2,mm2,not_applicable,standard_core/local_stability.py,reduced_area_box_central_eq32,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-033,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,24,33,local stability of centrally compressed solid-section members,normative calculation expression,Reduced design area expression for an eccentrically compressed box section.,gross_area_mm2; effective_web_height_mm; reduced_web_height_mm; web_thickness_mm,reduced_area_mm2,mm2,not_applicable,standard_core/local_stability.py,reduced_area_box_eccentric_eq33,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-034,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,25,34,local stability of centrally compressed solid-section members,normative calculation expression,Reduced web height for an I-section.,web_thickness_mm; actual_wall_relative_slenderness; limiting_wall_relative_slenderness; member_relative_slenderness; design_yield_resistance_n_mm2; elastic_modulus_n_mm2,reduced_web_height_mm,mm,not_applicable,standard_core/local_stability.py,reduced_web_height_i_section_eq34,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-035,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,25,35,local stability of centrally compressed solid-section members,normative calculation expression,Reduced box-section plate dimension for a web or substituted flange plate.,plate_thickness_mm; actual_plate_relative_slenderness; limiting_plate_relative_slenderness; member_relative_slenderness; design_yield_resistance_n_mm2; elastic_modulus_n_mm2,reduced_plate_dimension_mm,mm,not_applicable,standard_core/local_stability.py,reduced_plate_dimension_box_eq35,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-036,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,25,36,local stability of centrally compressed solid-section members,normative calculation expression,Reduced web height for a channel section.,web_thickness_mm; actual_wall_relative_slenderness; limiting_wall_relative_slenderness; design_yield_resistance_n_mm2; elastic_modulus_n_mm2,reduced_web_height_mm,mm,not_applicable,standard_core/local_stability.py,reduced_web_height_channel_eq36,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-037,СП 16.13330.2017 «Стальные конструкции»,7.3.8,,25,37,local stability of centrally compressed solid-section members,normative calculation expression,Table 10 diagram group 1 limiting flange-outstand slenderness.,member_relative_slenderness,limiting_flange_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,flange_slenderness_limit_eq37,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-038,СП 16.13330.2017 «Стальные конструкции»,7.3.8,,26,38,local stability of centrally compressed solid-section members,normative calculation expression,Table 10 diagram group 2 limiting flange-outstand slenderness.,member_relative_slenderness,limiting_flange_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,flange_slenderness_limit_eq38,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-039,СП 16.13330.2017 «Стальные конструкции»,7.3.8,,26,39,local stability of centrally compressed solid-section members,normative calculation expression,Table 10 diagram group 3 limiting flange-outstand slenderness.,member_relative_slenderness,limiting_flange_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,flange_slenderness_limit_eq39,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-040,СП 16.13330.2017 «Стальные конструкции»,7.3.8,,26,40,local stability of centrally compressed solid-section members,normative calculation expression,Table 10 diagram group 4 limiting flange-outstand slenderness.,member_relative_slenderness,limiting_flange_relative_slenderness,dimensionless,not_applicable,standard_core/local_stability.py,flange_slenderness_limit_eq40,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-041,СП 16.13330.2017 «Стальные конструкции»,8.2.1,,27,41,bending member strength,normative calculation expression,Class-1 one-plane elastic bending strength utilization.,bending_moment_n_mm; minimum_net_section_modulus_mm3; design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,elastic_bending_utilization_eq41,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-042,СП 16.13330.2017 «Стальные конструкции»,8.2.1,,27,42,bending member strength,normative calculation expression,Class-1 web shear strength utilization.,shear_force_n; first_moment_area_mm3; gross_second_moment_area_mm4; web_thickness_mm; design_shear_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,elastic_shear_utilization_eq42,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-043,СП 16.13330.2017 «Стальные конструкции»,8.2.1,,27,43,bending member strength,normative calculation expression,Class-1 signed biaxial bending and bimoment normal-stress utilization at a section point.,moment_x_n_mm; moment_y_n_mm; bimoment_n_mm2; net_inertia_x_mm4; net_inertia_y_mm4; net_sectorial_inertia_mm6; point_y_mm; point_x_mm; sectorial_coordinate_mm2; design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,elastic_combined_normal_utilization_eq43,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-044,СП 16.13330.2017 «Стальные конструкции»,8.2.1,,27,44,bending member strength,normative calculation expression,Class-1 web equivalent-stress and separate shear-strength checks.,longitudinal_normal_stress_n_mm2; transverse_normal_stress_n_mm2; shear_stress_n_mm2; design_yield_resistance_n_mm2; design_shear_resistance_n_mm2; working_condition_factor,utilization_and_pass_flags,mixed_dimensionless_and_boolean,not_applicable,standard_core/bending_members.py,elastic_web_equivalent_stress_checks_eq44,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-045,СП 16.13330.2017 «Стальные конструкции»,8.2.1,,28,45,bending member strength,normative calculation expression,Bolt-hole amplification factor for web shear checks.,hole_pitch_mm; hole_diameter_mm,dimensionless_factor,dimensionless,not_applicable,standard_core/bending_members.py,bolt_hole_factor_eq45,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-046,СП 16.13330.2017 «Стальные конструкции»,8.2.2,,28,46,bending member strength,normative calculation expression,Local web compression strength utilization under a concentrated load.,local_compressive_stress_n_mm2; design_yield_resistance_n_mm2; working_condition_factor,dimensionless_utilization,dimensionless,not_applicable,standard_core/bending_members.py,local_web_compression_utilization_eq46,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-047,СП 16.13330.2017 «Стальные конструкции»,8.2.2,,28,47,bending member strength,normative calculation expression,Local web compressive stress from force distribution length.,concentrated_force_n; effective_load_length_mm; web_thickness_mm,local_stress_n_mm2,N/mm2,not_applicable,standard_core/bending_members.py,local_web_compression_stress_eq47,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
