audit_id,standard,clause,page,short_description,planned_module,planned_function,implementation_status,test_status,validation_status,comments
SP16-PROC-7.2.2-METHOD-SELECTION,СП 16.13330.2017 «Стальные конструкции»,7.2.2,17,Use Table 8 for at least six panels; require frame analysis for fewer than six batten panels and clause 7.2.5 for fewer than six lattice panels.,standard_core/built_up_axial_members.py,built_up_stability_method,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.2-OVERALL-STABILITY,СП 16.13330.2017 «Стальные конструкции»,7.2.2,17,Evaluate overall built-up-member stability by equation (7) with type-b phi and effective slenderness.,standard_core/built_up_axial_members.py,lattice_built_up_stability_utilization,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.3-BATTEN-BRANCH-LIMIT,СП 16.13330.2017 «Стальные конструкции»,7.2.3,17,Limit branch relative slenderness between battens to 1.4.,standard_core/built_up_axial_members.py,batten_branch_slenderness_check,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.4-LATTICE-BRANCH-LIMIT,СП 16.13330.2017 «Стальные конструкции»,7.2.4,17,"Check the 2.7 basic limit, relation to member effective slenderness, and the conditional 4.1 extended limit.",standard_core/built_up_axial_members.py,lattice_branch_slenderness_assessment,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.5-BRANCH-PHI,СП 16.13330.2017 «Стальные конструкции»,7.2.5,17,"Set phi_1=1 to 2.7, use equation (8) at 0.7l_b from 3.2, and linearly interpolate in between.",standard_core/built_up_axial_members.py,lattice_branch_stability_coefficient,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.5-REDUCED-RESISTANCE,СП 16.13330.2017 «Стальные конструкции»,7.2.5,17,Replace R_y by phi_1 R_y in the lattice built-up-member stability check.,standard_core/built_up_axial_members.py,lattice_built_up_stability_utilization,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.6-CONNECTION-SPACING,СП 16.13330.2017 «Стальные конструкции»,7.2.6,20,Check 40i compression and 80i tension connector spacing plus at least two intermediate connections for compression.,standard_core/built_up_axial_members.py,close_contact_connection_spacing_check,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.7-SHEAR-DISTRIBUTION,СП 16.13330.2017 «Стальные конструкции»,7.2.7,20,"Distribute Q_fic among connector systems, a solid sheet, or three faces according to the printed rules.",standard_core/built_up_axial_members.py,distribute_fictitious_shear,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.10-RESTRAINT-FORCE,СП 16.13330.2017 «Стальные конструкции»,7.2.10,21,Use Q_fic as the design force for a brace that reduces compressed-member effective length.,standard_core/built_up_axial_members.py,reduced_length_brace_design_force_n,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.2.10-COLUMN-SPACER,СП 16.13330.2017 «Стальные конструкции»,7.2.10,21,"For a column-branch spacer, use equation (18) with N equal to the sum of two branch forces.",standard_core/built_up_axial_members.py,column_branch_spacer_fictitious_shear_n,implemented,normal_boundary_domain_and_explicit_route_tests_passed,implementation_self_check_passed_no_standard_worked_example,Visually verified against supplied PDF pages 17-21. Ambiguous or externally solved routes are surfaced explicitly.
SP16-PROC-7.3.1-WEB-GEOMETRY,СП 16.13330.2017 «Стальные конструкции»,7.3.1,22,Expose the four effective-web-height measurement references from Figure 5.,standard_core/local_stability.py,local_stability_geometry_rule_catalog,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.2-WEB-SLENDERNESS,СП 16.13330.2017 «Стальные конструкции»,7.3.2,22,"Compute relative web slenderness from effective height, thickness, R_y, and E.",standard_core/local_stability.py,wall_relative_slenderness,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.2-TABLE-9-ROUTING,СП 16.13330.2017 «Стальные конструкции»,7.3.2,22-23,Select the explicit Table 9 diagram group and piecewise formula without geometry inference.,standard_core/local_stability.py,wall_slenderness_limit,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.3-TRANSVERSE-STIFFENERS,СП 16.13330.2017 «Стальные конструкции»,7.3.3,23-24,"Evaluate transverse-stiffener trigger, spacing, width, thickness, and location rules.",standard_core/local_stability.py,transverse_stiffener_requirements,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.4-LONGITUDINAL-STIFFENER,СП 16.13330.2017 «Стальные конструкции»,7.3.4,24,Apply equation (30) only within its inertia-ratio domain and retain geometry caveats.,standard_core/local_stability.py,longitudinal_stiffener_wall_limit_multiplier_eq30,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.5-REDUCED-AREA-TRIGGER,СП 16.13330.2017 «Стальные конструкции»,7.3.5,24,Determine whether reduced area is required and whether the central-compression two-times-limit domain is satisfied.,standard_core/local_stability.py,reduced_area_required,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.6-REDUCED-DIMENSIONS,СП 16.13330.2017 «Стальные конструкции»,7.3.6,24-25,Compute reduced web/flange dimensions and reduced areas with explicit section-family routing.,standard_core/local_stability.py,reduced_web_height_i_section_eq34; reduced_plate_dimension_box_eq35; reduced_web_height_channel_eq36,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.7-FLANGE-GEOMETRY,СП 16.13330.2017 «Стальные конструкции»,7.3.7,25,Expose the four effective-flange-outstand measurement references from Figure 5.,standard_core/local_stability.py,local_stability_geometry_rule_catalog,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.8-FLANGE-SLENDERNESS,СП 16.13330.2017 «Стальные конструкции»,7.3.8,25,Compute relative flange outstand or flange-plate slenderness.,standard_core/local_stability.py,flange_relative_slenderness,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.8-TABLE-10-ROUTING,СП 16.13330.2017 «Стальные конструкции»,7.3.8,25-26,"Apply Table 10 diagram-group formulas, 0.8/4 boundary substitution, and stated edge multipliers.",standard_core/local_stability.py,flange_slenderness_limit,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.9-BOX-FLANGE,СП 16.13330.2017 «Стальные конструкции»,7.3.9,26,Use the flange-plate slenderness definition and explicit Table 10 classification for box flanges.,standard_core/local_stability.py,flange_relative_slenderness; flange_slenderness_limit,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.10-EDGE-STIFFENER,СП 16.13330.2017 «Стальные конструкции»,7.3.10,26,Calculate minimum edge-return height and edge-stiffener thickness.,standard_core/local_stability.py,edge_stiffener_requirements,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-7.3.11-TWO-PLANE-INCREASE,СП 16.13330.2017 «Стальные конструкции»,7.3.11,26,Calculate and apply the sqrt(phi*A*R_y/N) increase factor capped at 1.25.,standard_core/local_stability.py,two_plane_slenderness_increase_factor; apply_two_plane_slenderness_increase,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure and applicability rules visually verified against supplied PDF pages 22-26; geometry classification remains explicit.
SP16-PROC-8.1-CLASS-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.1,27,"Route class 1 beams to elastic analysis and classes 2/3 to static-load plastic routes, including crane and bimetal constraints.",standard_core/bending_members.py,bending_member_class_requirements,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.1-ELASTIC-STRESS-POINT,СП 16.13330.2017 «Стальные конструкции»,8.2.1,27,"Evaluate signed elastic normal stress at a selected section point under Mx, My, and bimoment.",standard_core/bending_members.py,elastic_combined_normal_utilization_eq43,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.1-BOLT-HOLE-ADJUSTMENT,СП 16.13330.2017 «Стальные конструкции»,8.2.1,27-28,Apply the equation (45) bolt-hole factor to web shear demand.,standard_core/bending_members.py,apply_bolt_hole_factor,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.2-LOCAL-LOAD-LENGTH,СП 16.13330.2017 «Стальные конструкции»,8.2.2,28-29,Select equation (48) or (49) from the verified Figure 6 load-transfer case.,standard_core/bending_members.py,effective_load_length_by_case,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.3-PLASTIC-APPLICABILITY,СП 16.13330.2017 «Стальные конструкции»,8.2.3,29-30,"Check class, section family, steel strength, shear level, support section, and linked-clause confirmations before plastic analysis.",standard_core/bending_members.py,plastic_bending_applicability,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.3-ANNEX-E1-INTERPOLATION,СП 16.13330.2017 «Стальные конструкции»,8.2.3; Annex E,161-163,Linearly interpolate c_x and c_y within the printed A_f/A_w nodes and apply the n footnote.,standard_core/bending_members.py,annex_e1_base_coefficients,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.3-ANNEX-E1-CAP,СП 16.13330.2017 «Стальные конструкции»,8.2.3; Annex E,163,Limit c_x and c_y to 1.15 times the equivalent-load safety factor.,standard_core/bending_members.py,apply_annex_e1_load_factor_cap,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.3-TABLE-10A-INTERPOLATION,СП 16.13330.2017 «Стальные конструкции»,8.2.3,30,Linearly interpolate c_omega between adjacent Table 10a nodes without extrapolation.,standard_core/bending_members.py,constrained_torsion_coefficient_table_10a,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.3-PURE-BENDING-COEFFICIENTS,СП 16.13330.2017 «Стальные конструкции»,8.2.3,30,Calculate the modified c_xm and c_ym coefficients for a pure-bending zone.,standard_core/bending_members.py,pure_bending_modified_coefficients,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.4-VARIABLE-SECTION-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.2.4,30,Restrict full plastic analysis of a variable-section beam to one governing M-Q section and route other sections appropriately.,standard_core/bending_members.py,variable_section_plastic_routing,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.5-CONTINUOUS-BEAM-APPLICABILITY,СП 16.13330.2017 «Стальные конструкции»,8.2.5,30-31,"Check constant section, double symmetry, linked clauses, and the 20 percent adjacent-span condition.",standard_core/bending_members.py,continuous_beam_partial_redistribution_applicability,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.5-EFFECTIVE-MOMENT-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.2.5,31,"Select the effective-moment rule for end, intermediate, fixed, or mixed-end spans.",standard_core/bending_members.py,effective_moment_by_end_condition,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.6-BIAXIAL-REDISTRIBUTION,СП 16.13330.2017 «Стальные конструкции»,8.2.6,31,Require completed redistribution in both principal planes before the biaxial route is accepted.,standard_core/bending_members.py,biaxial_redistribution_route,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.7-CLASS-3-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.2.7,31,Gate the class-3 plastic-hinge route on every linked clause and the shear-effect confirmation.,standard_core/bending_members.py,class_3_plastic_hinge_route,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.8-BIMETAL-APPLICABILITY,СП 16.13330.2017 «Стальные конструкции»,8.2.8,31-32,"Check bimetal symmetry, linked clauses, support-section status, and web/flange shear limits.",standard_core/bending_members.py,bimetal_bending_applicability,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.2.8-BIMETAL-MINOR-COEFFICIENT,СП 16.13330.2017 «Стальные конструкции»,8.2.8,32,Select c_yr as 1.15 for I-sections or 1.05/r for box sections.,standard_core/bending_members.py,bimetal_minor_axis_coefficient,implemented,normal_boundary_unit_sign_and_domain_tests_passed,implementation_self_check_passed_no_standard_worked_example,Procedure visually verified against supplied PDF pages 27-32 and Annex E pages 161-163; all engineering applicability decisions are explicit inputs.
SP16-PROC-8.3.1-CRANE-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.3.1,32,Route crane-runway beam strength checks to clause 8.2.1.,standard_core/crane_runway_and_bending_stability.py,crane-runway runner route,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.3.2-SUPPORT-BETA,СП 16.13330.2017 «Стальные конструкции»,8.3.2,32,Select beta=0.87 or 0.77 for clause 8.3.2/8.3.3 support conditions.,standard_core/crane_runway_and_bending_stability.py,crane beta selection,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.3.3-STRESS-BUNDLE,СП 16.13330.2017 «Стальные конструкции»,8.3.3,32-33,Execute the complete equations (63)-(68) crane web stress bundle.,standard_core/crane_runway_and_bending_stability.py,crane_runway_stress_components_eq67,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.3.4-MONORAIL-LOCAL-STRESS,СП 16.13330.2017 «Стальные конструкции»,8.3.4,33,Expose the requirement for longitudinal and transverse local wheel-pressure stresses in monorails.,standard_core/crane_runway_and_bending_stability.py,docs/limitations.md,no_code_explanatory,not_applicable_documented_requirement,not_reproducible_from_standard_alone,Clause 8.3.4 requires longitudinal and transverse local wheel-pressure stresses but supplies no calculation method; no formula is invented.
SP16-PROC-8.3.5-BIMETAL-CRANE-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.3.5,33,Route bimetal crane-runway beams to clause 8.3.2 or equation (60) with specified substitutions.,standard_core/crane_runway_and_bending_stability.py,documented runner route,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.4.2-EFFECTIVE-LENGTH,СП 16.13330.2017 «Стальные конструкции»,8.4.2,34,Determine unbraced effective length from restraint point spacing.,standard_core/crane_runway_and_bending_stability.py,effective_length_by_restraint,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.4.4-STABILITY-EXEMPTION,СП 16.13330.2017 «Стальные конструкции»,8.4.4,34-35,Determine whether lateral stability verification may be omitted.,standard_core/crane_runway_and_bending_stability.py,lateral_stability_check_exemption,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.4.4-TABLE-11-ROUTING,СП 16.13330.2017 «Стальные конструкции»,8.4.4,35,Route Table 11 equations and notes.,standard_core/crane_runway_and_bending_stability.py,table_11_limit,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.4.5-DISCRETE-BRACING-FORCE,СП 16.13330.2017 «Стальные конструкции»,8.4.5,35,"Calculate discrete restraint force through equations (74), (18), and Table 7 type b.",standard_core/crane_runway_and_bending_stability.py,discrete_bracing_fictitious_force,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-8.4.6-CLASS-2-3-LIMIT,СП 16.13330.2017 «Стальные конструкции»,8.4.6,36,Apply the reduced Table 11 limit in plastic-deformation regions.,standard_core/crane_runway_and_bending_stability.py,class_2_3_stability_reduction_eq76,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-TABLE-1,СП 16.13330.2017 «Стальные конструкции»,Ж.3,165-166,Calculate psi from Table Ж.1.,standard_core/crane_runway_and_bending_stability.py,annex_zh_table_1_psi,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-TABLE-2,СП 16.13330.2017 «Стальные конструкции»,Ж.3,167,Calculate psi from Table Ж.2.,standard_core/crane_runway_and_bending_stability.py,annex_zh_table_2_psi,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-TABLE-3,СП 16.13330.2017 «Стальные конструкции»,Ж.4,167,Calculate phi_b from Table Ж.3.,standard_core/crane_runway_and_bending_stability.py,annex_zh_table_3_phi_b,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-TABLE-4,СП 16.13330.2017 «Стальные конструкции»,Ж.5,168,Select signed coefficient B from Table Ж.4.,standard_core/crane_runway_and_bending_stability.py,annex_zh_table_4_b,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-TABLE-5,СП 16.13330.2017 «Стальные конструкции»,Ж.5,169,Calculate C and D from Table Ж.5.,standard_core/crane_runway_and_bending_stability.py,annex_zh_table_5_c_d,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-SYMMETRIC-I,СП 16.13330.2017 «Стальные конструкции»,Ж.1-Ж.3,164-167,Complete doubly symmetric I-section phi_b route.,standard_core/crane_runway_and_bending_stability.py,annex_zh_symmetric_i_phi_b,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-MONOSYMMETRIC-I,СП 16.13330.2017 «Стальные конструкции»,Ж.4-Ж.6,165-169,Monosymmetric I-section route and less-developed compressed-flange modifier.,standard_core/crane_runway_and_bending_stability.py,apply_less_developed_compressed_flange_modifier,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
SP16-PROC-ANNEX-ZH-CHANNEL,СП 16.13330.2017 «Стальные конструкции»,Ж.7,169,Channel-section coefficient phi_b=0.7phi_1.,standard_core/crane_runway_and_bending_stability.py,annex_zh_channel_phi_b,implemented,normal_boundary_unit_sign_tested,implementation_self_check_passed_no_standard_worked_example,Implemented and traced in v0.7; diagram/category choices remain explicit engineering inputs where applicable.
