audit_id,standard_reference,item_type,implemented_function_or_data_file,test_file,validation_case,status,comments
SP16-EQ-036,7.3.6,equation,standard_core/local_stability.py:reduced_web_height_channel_eq36,tests/test_local_stability.py,V11-SP16-EQ-036,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-037,7.3.8,equation,standard_core/local_stability.py:flange_slenderness_limit_eq37,tests/test_local_stability.py,V11-SP16-EQ-037,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-038,7.3.8,equation,standard_core/local_stability.py:flange_slenderness_limit_eq38,tests/test_local_stability.py,V11-SP16-EQ-038,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-039,7.3.8,equation,standard_core/local_stability.py:flange_slenderness_limit_eq39,tests/test_local_stability.py,V11-SP16-EQ-039,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-040,7.3.8,equation,standard_core/local_stability.py:flange_slenderness_limit_eq40,tests/test_local_stability.py,V11-SP16-EQ-040,implemented,"Formula, branch conditions, caps, substitutions, and symbol definitions visually verified against supplied PDF pages 22-26."
SP16-EQ-041,8.2.1,equation,standard_core/bending_members.py:elastic_bending_utilization_eq41,tests/test_bending_members.py,V11-SP16-EQ-041,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-042,8.2.1,equation,standard_core/bending_members.py:elastic_shear_utilization_eq42,tests/test_bending_members.py,V11-SP16-EQ-042,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-043,8.2.1,equation,standard_core/bending_members.py:elastic_combined_normal_utilization_eq43,tests/test_bending_members.py,V11-SP16-EQ-043,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-044,8.2.1,equation,standard_core/bending_members.py:elastic_web_equivalent_stress_checks_eq44,tests/test_bending_members.py,V11-SP16-EQ-044,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-045,8.2.1,equation,standard_core/bending_members.py:bolt_hole_factor_eq45,tests/test_bending_members.py,V11-SP16-EQ-045,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-046,8.2.2,equation,standard_core/bending_members.py:local_web_compression_utilization_eq46,tests/test_bending_members.py,V11-SP16-EQ-046,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-047,8.2.2,equation,standard_core/bending_members.py:local_web_compression_stress_eq47,tests/test_bending_members.py,V11-SP16-EQ-047,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-048,8.2.2,equation,standard_core/bending_members.py:effective_load_length_eq48,tests/test_bending_members.py,V11-SP16-EQ-048,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-049,8.2.2,equation,standard_core/bending_members.py:effective_load_length_crane_eq49,tests/test_bending_members.py,V11-SP16-EQ-049,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-050,8.2.3,equation,standard_core/bending_members.py:plastic_bending_utilization_eq50,tests/test_bending_members.py,V11-SP16-EQ-050,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-051,8.2.3,equation,standard_core/bending_members.py:plastic_biaxial_bending_utilization_eq51,tests/test_bending_members.py,V11-SP16-EQ-051,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-052,8.2.3,equation,standard_core/bending_members.py:plastic_shear_reduction_factor_eq52,tests/test_bending_members.py,V11-SP16-EQ-052,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-053,8.2.3,equation,standard_core/bending_members.py:constrained_torsion_utilization_eq53,tests/test_bending_members.py,V11-SP16-EQ-053,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-054,8.2.3,equation,standard_core/bending_members.py:support_shear_x_utilization_eq54,tests/test_bending_members.py,V11-SP16-EQ-054,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-055,8.2.3,equation,standard_core/bending_members.py:support_shear_y_utilization_eq55,tests/test_bending_members.py,V11-SP16-EQ-055,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-056,8.2.5,equation,standard_core/bending_members.py:redistributed_design_moment_eq56,tests/test_bending_members.py,V11-SP16-EQ-056,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-057,8.2.5,equation,standard_core/bending_members.py:effective_moment_hinged_end_eq57,tests/test_bending_members.py,V11-SP16-EQ-057,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-058,8.2.5,equation,standard_core/bending_members.py:effective_moment_intermediate_span_eq58,tests/test_bending_members.py,V11-SP16-EQ-058,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-059,8.2.8,equation,standard_core/bending_members.py:bimetal_bending_utilization_eq59,tests/test_bending_members.py,V11-SP16-EQ-059,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-060,8.2.8,equation,standard_core/bending_members.py:bimetal_biaxial_bending_utilization_eq60,tests/test_bending_members.py,V11-SP16-EQ-060,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-061,8.2.8,equation,standard_core/bending_members.py:bimetal_major_axis_coefficient_eq61,tests/test_bending_members.py,V11-SP16-EQ-061,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-062,8.2.8,equation,standard_core/bending_members.py:bimetal_shear_reduction_factor_eq62,tests/test_bending_members.py,V11-SP16-EQ-062,implemented,"Stage N4 current-SP16 remediation: equation (61) reverified against current 8.2.8; formula uses alpha_f*r, not legacy c_xf*r. Frozen first API parameter retained but ignored. Linked applicability gates remain explicit."
SP16-EQ-063,8.3.3,equation,standard_core/crane_runway_and_bending_stability.py:crane_runway_equivalent_stress_utilization_eq63,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-063,implemented,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-064,8.3.3,equation,standard_core/crane_runway_and_bending_stability.py:crane_runway_longitudinal_normal_utilization_eq64,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-064,implemented,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-065,8.3.3,equation,standard_core/crane_runway_and_bending_stability.py:crane_runway_transverse_normal_utilization_eq65,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-065,implemented,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-066,8.3.3,equation,standard_core/crane_runway_and_bending_stability.py:crane_runway_shear_utilization_eq66,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-066,implemented,Visually verified against supplied PDF pages 32; implemented in v0.7.
SP16-EQ-067,8.3.3,equation,standard_core/crane_runway_and_bending_stability.py:crane_runway_stress_components_eq67,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-067,implemented,Visually verified against supplied PDF pages 33; implemented in v0.7.
SP16-EQ-068,8.3.3,equation,standard_core/crane_runway_and_bending_stability.py:crane_runway_local_torsional_moment_eq68,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-068,implemented,Visually verified against supplied PDF pages 33; implemented in v0.7.
SP16-EQ-069,8.4.1,equation,standard_core/crane_runway_and_bending_stability.py:lateral_torsional_stability_utilization_eq69,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-069,implemented,Visually verified against supplied PDF pages 34; implemented in v0.7.
SP16-EQ-070,8.4.1,equation,standard_core/crane_runway_and_bending_stability.py:lateral_torsional_combined_utilization_eq70,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-070,implemented,Visually verified against supplied PDF pages 34; implemented in v0.7.
SP16-EQ-071,8.4.4,equation,standard_core/crane_runway_and_bending_stability.py:table_11_limit_eq71,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-071,implemented,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-072,8.4.4,equation,standard_core/crane_runway_and_bending_stability.py:table_11_limit_eq72,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-072,implemented,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-073,8.4.4,equation,standard_core/crane_runway_and_bending_stability.py:table_11_limit_eq73,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-073,implemented,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-074,8.4.5,equation,standard_core/crane_runway_and_bending_stability.py:compressed_flange_equivalent_force_eq74,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-074,implemented,Visually verified against supplied PDF pages 35; implemented in v0.7.
SP16-EQ-075,8.4.5,equation,standard_core/crane_runway_and_bending_stability.py:continuous_bracing_force_per_length_eq75,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-075,implemented,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-076,8.4.6,equation,standard_core/crane_runway_and_bending_stability.py:class_2_3_stability_reduction_eq76,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-076,implemented,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-077,8.4.6,equation,standard_core/crane_runway_and_bending_stability.py:class_2_3_coefficient_eq77,tests/test_crane_runway_and_bending_stability.py,V11-SP16-EQ-077,implemented,Visually verified against supplied PDF pages 36; implemented in v0.7.
SP16-EQ-078,8.5.2,equation,standard_core/bending_member_local_stability.py:bending_normal_stress_eq78,tests/test_bending_member_local_stability.py,V11-SP16-EQ-078,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-079,8.5.2,equation,standard_core/bending_member_local_stability.py:average_web_shear_stress_eq79,tests/test_bending_member_local_stability.py,V11-SP16-EQ-079,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-080,8.5.3,equation,standard_core/bending_member_local_stability.py:symmetric_web_buckling_utilization_eq80,tests/test_bending_member_local_stability.py,V11-SP16-EQ-080,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-081,8.5.3,equation,standard_core/bending_member_local_stability.py:critical_normal_web_stress_eq81,tests/test_bending_member_local_stability.py,V11-SP16-EQ-081,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-082,8.5.3,equation,standard_core/bending_member_local_stability.py:critical_local_web_stress_eq82,tests/test_bending_member_local_stability.py,V11-SP16-EQ-082,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-083,8.5.3,equation,standard_core/bending_member_local_stability.py:critical_web_shear_stress_eq83,tests/test_bending_member_local_stability.py,V11-SP16-EQ-083,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-084,8.5.4,equation,standard_core/bending_member_local_stability.py:flange_restraint_parameter_eq84,tests/test_bending_member_local_stability.py,V11-SP16-EQ-084,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-085,8.5.7,equation,standard_core/bending_member_local_stability.py:asymmetric_tension_flange_web_utilization_eq85,tests/test_bending_member_local_stability.py,V11-SP16-EQ-085,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-086,8.5.8,equation,standard_core/bending_member_local_stability.py:class_2_3_symmetric_web_utilization_eq86,tests/test_bending_member_local_stability.py,V11-SP16-EQ-086,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-087,8.5.8,equation,standard_core/bending_member_local_stability.py:class_2_3_asymmetric_web_utilization_eq87,tests/test_bending_member_local_stability.py,V11-SP16-EQ-087,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-088,8.5.8,equation,standard_core/bending_member_local_stability.py:compressed_web_zone_height_eq88,tests/test_bending_member_local_stability.py,V11-SP16-EQ-088,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-089,8.5.12,equation,standard_core/bending_member_local_stability.py:upper_plate_utilization_eq89,tests/test_bending_member_local_stability.py,V11-SP16-EQ-089,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-090,8.5.12,equation,standard_core/bending_member_local_stability.py:upper_plate_critical_normal_no_local_eq90,tests/test_bending_member_local_stability.py,V11-SP16-EQ-090,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-091,8.5.12,equation,standard_core/bending_member_local_stability.py:upper_plate_critical_normal_with_local_eq91,tests/test_bending_member_local_stability.py,V11-SP16-EQ-091,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-092,8.5.12,equation,standard_core/bending_member_local_stability.py:upper_plate_critical_local_eq92,tests/test_bending_member_local_stability.py,V11-SP16-EQ-092,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-093,8.5.12,equation,standard_core/bending_member_local_stability.py:upper_plate_psi_and_slenderness_eq93,tests/test_bending_member_local_stability.py,V11-SP16-EQ-093,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-094,8.5.12,equation,standard_core/bending_member_local_stability.py:lower_plate_utilization_eq94,tests/test_bending_member_local_stability.py,V11-SP16-EQ-094,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-095,8.5.12,equation,standard_core/bending_member_local_stability.py:lower_plate_critical_normal_eq95,tests/test_bending_member_local_stability.py,V11-SP16-EQ-095,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-096,8.5.12,equation,standard_core/bending_member_local_stability.py:lower_plate_relative_slenderness_eq96,tests/test_bending_member_local_stability.py,V11-SP16-EQ-096,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-097,8.5.18,equation,standard_core/bending_member_local_stability.py:flange_outstand_limit_eq97,tests/test_bending_member_local_stability.py,V11-SP16-EQ-097,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-098,8.5.18,equation,standard_core/bending_member_local_stability.py:box_flange_plate_limit_eq98,tests/test_bending_member_local_stability.py,V11-SP16-EQ-098,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-099,8.5.19,equation,standard_core/bending_member_local_stability.py:class_2_3_flange_outstand_limit_eq99,tests/test_bending_member_local_stability.py,V11-SP16-EQ-099,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-100,8.5.19,equation,standard_core/bending_member_local_stability.py:class_2_3_box_flange_limit_eq100,tests/test_bending_member_local_stability.py,V11-SP16-EQ-100,implemented,Formula transcription was visually checked on PDF pages 37-47. No normative worked example was present; validation is arithmetic and table-consistency checking.
SP16-EQ-101,8.6.2,equation,standard_core/base_plates_and_combined_force_strength.py:base_plate_required_thickness_eq101,tests/test_base_plates_and_combined_force_strength.py,V11-SP16-EQ-101,implemented,"Formula transcribed by visual audit from supplied PDF pages 47-48; units, signs, applicability, and limitations are explicit in the public API."
SP16-EQ-102,8.6.2,equation,standard_core/base_plates_and_combined_force_strength.py:base_plate_cantilever_moment_eq102,tests/test_base_plates_and_combined_force_strength.py,V11-SP16-EQ-102,implemented,"Formula transcribed by visual audit from supplied PDF pages 47-48; units, signs, applicability, and limitations are explicit in the public API."
