clause_id,standard,clause,annex,page_start,page_end,title,normative_status,contains_equations,contains_tables,contains_validation_example,implementation_relevance,comments
5.1,СП 16.13330.2017 «Стальные конструкции»,5.1,,9,9,"Физические характеристики материалов, применяемых для стальных конструкций, следует принимать согласно",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.2,СП 16.13330.2017 «Стальные конструкции»,5.2,,9,9,"При назначении стали для конструкций следует учитывать группу конструкций, расчетную температуру",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.3,СП 16.13330.2017 «Стальные конструкции»,5.3,,9,9,"Для конструкций следует использовать фасонный (уголки, двутавры, швеллеры), листовой, широкополосный",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.4,СП 16.13330.2017 «Стальные конструкции»,5.4,,9,9,"Для отливок (опорных частей и т.п.) следует применять сталь, удовлетворяющую требованиям действующих",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.5,СП 16.13330.2017 «Стальные конструкции»,5.5,,9,10,Для сварки стальных конструкций следует применять: электроды для ручной дуговой сварки; сварочную,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.6,СП 16.13330.2017 «Стальные конструкции»,5.6,,10,10,"Для болтовых соединений следует применять стальные болты, гайки и шайбы, удовлетворяющие требованиям",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.7,СП 16.13330.2017 «Стальные конструкции»,5.7,,10,10,"Для фрикционных и фланцевых соединений следует применять болты классов прочности 8.8, 10.9, 12.9, гайки и",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.8,СП 16.13330.2017 «Стальные конструкции»,5.8,,10,10,"Болты U-образные (в том числе для крепления оттяжек антенных сооружений связи), а также фундаментные болты",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.9,СП 16.13330.2017 «Стальные конструкции»,5.9,,10,10,Гайки для фундаментных и U-образных болтов следует применять по соответствующим требованиям действующих стандартов Для фундаментных болтов из стали С245 или С255 диаметром до 48 м…,normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.10,СП 16.13330.2017 «Стальные конструкции»,5.10,,10,10,"Для шарниров, катков и болтов, работающих в качестве шарниров, а также подкладных листов под катки, следует",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
5.11,СП 16.13330.2017 «Стальные конструкции»,5.11,,10,10,"Для несущих элементов висячих покрытий, оттяжек опор воздушных линий электропередачи, распределительных",normative,no,no,no,documentation/external boundary,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
6,СП 16.13330.2017 «Стальные конструкции»,6,,10,14,Расчетные характеристики материалов и соединений,normative,yes,yes,no,calculation or executable procedure,"v0.2 selected scope: Tables 2-5, equations (1), (2), (4), and explicit procedures in 6.2, 6.4, and 6.9."
6.1,СП 16.13330.2017 «Стальные конструкции»,6.1,,10,11,"Расчетные сопротивления проката, гнутых профилей и труб для различных видов напряженных состояний следует",normative,no,yes,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
6.2,СП 16.13330.2017 «Стальные конструкции»,6.2,,11,12,Расчетные сопротивления гнутых профилей следует принимать равными расчетным сопротивлениям листового,normative,no,no,no,calculation or executable procedure,Implemented as an identity adoption procedure from source-sheet design resistance.
6.3,СП 16.13330.2017 «Стальные конструкции»,6.3,,12,12,Значения расчетных сопротивлений отливок из углеродистой стали следует принимать по таблице В.7,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
6.4,СП 16.13330.2017 «Стальные конструкции»,6.4,,12,12,Расчетные сопротивления сварных соединений для соединений различных видов и напряженных состояний,normative,no,yes,no,calculation or executable procedure,Table 4 and dissimilar-steel minimum rule implemented; no interpolation is invented for the unspecified gamma_wm interval.
6.5,СП 16.13330.2017 «Стальные конструкции»,6.5,,12,13,"Расчетные сопротивления одноболтового соединения следует определять по формулам, приведенным в таблице 5",normative,no,yes,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
6.6,СП 16.13330.2017 «Стальные конструкции»,6.6,,13,13,Расчетное сопротивление растяжению фундаментных и анкерных болтов Значения расчетных сопротивлений растяжению фундаментных болтов приведены в таблице Г.7 (приложение Г),normative,yes,no,no,calculation or executable procedure,Equations (1) and (2) implemented; Annex G.7 lookup remains not yet implemented.
6.7,СП 16.13330.2017 «Стальные конструкции»,6.7,,13,13,"(Исключен, Изм. N 2)",normative,yes,no,no,calculation or executable procedure,Excluded clause preserved; equation number (3) is intentionally not implemented.
6.8,СП 16.13330.2017 «Стальные конструкции»,6.8,,13,13,"Расчетное сопротивление растяжению высокопрочной стальной проволоки прядей, следует определять по формуле",normative,yes,no,no,calculation or executable procedure,Equation (4) implemented.
6.9,СП 16.13330.2017 «Стальные конструкции»,6.9,,13,14,Значение расчетного сопротивления (усилия) растяжению стального каната следует принимать равным значению,normative,no,no,no,calculation or executable procedure,Design rope tensile force procedure implemented with gamma_m = 1.6; breaking force remains an external product-standard input.
7,СП 16.13330.2017 «Стальные конструкции»,7,,14,26,Расчет элементов стальных конструкций при центральном растяжении и сжатии,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
7.1,СП 16.13330.2017 «Стальные конструкции»,7.1,,14,17,Расчет элементов сплошного сечения,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
7.1.1,СП 16.13330.2017 «Стальные конструкции»,7.1.1,,14,14,Расчет на прочность элементов из стали с нормативным сопротивлением,normative,yes,no,no,calculation or executable procedure,Implemented in v0.3 and preserved in v0.4; adjoining or later clause content remains governed by its own inventory rows.
7.1.2,СП 16.13330.2017 «Стальные конструкции»,7.1.2,,14,15,"Расчет на прочность сечений в местах крепления растянутых элементов из одиночных уголков, прикрепляемых",normative,yes,yes,no,calculation or executable procedure,Implemented in v0.3 and preserved in v0.4; adjoining or later clause content remains governed by its own inventory rows.
7.1.3,СП 16.13330.2017 «Стальные конструкции»,7.1.3,,15,16,Расчет на устойчивость элементов сплошного сечения при центральном сжатии силой N и удовлетворяющих,normative,yes,yes,no,calculation or executable procedure,Implemented in v0.3 and preserved in v0.4; adjoining or later clause content remains governed by its own inventory rows.
7.1.4,СП 16.13330.2017 «Стальные конструкции»,7.1.4,,16,16,Расчет на устойчивость стержней из одиночных уголков следует выполнять с учетом требований 7.1.3. При,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
7.1.5,СП 16.13330.2017 «Стальные конструкции»,7.1.5,,16,17,Сжатые элементы со сплошными стенками открытого П-образного сечения (рисунок 2) следует укреплять,normative,yes,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
7.1.6,СП 16.13330.2017 «Стальные конструкции»,7.1.6,,17,17,Соединение пояса со стенкой в центрально сжатом элементе составного сплошного сечения следует рассчитывать по формулам таблицы 43 на сдвиг от условной поперечной силы,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
7.2,СП 16.13330.2017 «Стальные конструкции»,7.2,,17,21,Расчет элементов сквозного сечения,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
7.2.1,СП 16.13330.2017 «Стальные конструкции»,7.2.1,,17,17,Расчет на прочность элементов сквозного сечения при центральном растяжении и сжатии следует выполнять по,normative,no,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.2,СП 16.13330.2017 «Стальные конструкции»,7.2.2,,17,17,"Расчет на устойчивость сжатых стержней сквозного сечения, ветви которых соединены планками или решетками, следует выполнять по формуле (7); при этом коэффициент",normative,no,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.3,СП 16.13330.2017 «Стальные конструкции»,7.2.3,,17,17,В сквозных стержнях с планками условная гибкость отдельной ветви,normative,no,yes,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.4,СП 16.13330.2017 «Стальные конструкции»,7.2.4,,17,17,В сквозных стержнях с решетками помимо расчета на устойчивость стержня в целом следует проверять,normative,no,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.5,СП 16.13330.2017 «Стальные конструкции»,7.2.5,,17,20,Расчет сквозных стержней с решетками с учетом указанного в 7.2.2 и 7.2.4 следует выполнять по формуле (7) с,normative,yes,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.6,СП 16.13330.2017 «Стальные конструкции»,7.2.6,,20,20,"Расчет стержней составных сечений из уголков, швеллеров и др., соединенных стенками вплотную или через",normative,no,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.7,СП 16.13330.2017 «Стальные конструкции»,7.2.7,,20,20,Расчет соединительных планок и элементов решеток сжатых стержней сквозного сечения следует выполнять на,normative,yes,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.8,СП 16.13330.2017 «Стальные конструкции»,7.2.8,,20,21,"Расчет соединительных планок и их прикреплений (см. рисунок 4) должен выполняться, как расчет элементов",normative,yes,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.9,СП 16.13330.2017 «Стальные конструкции»,7.2.9,,21,21,Расчет элементов соединительных решеток составных стержней следует выполнять как расчет элементов,normative,yes,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.2.10,СП 16.13330.2017 «Стальные конструкции»,7.2.10,,21,21,"Расчет стержней, предназначенных для уменьшения расчетной длины сжатых элементов, должен выполняться",normative,no,no,no,calculation or executable procedure,Implemented in v0.4 with visual verification against PDF pages 17-21; external frame analysis and geometry classification remain explicit limitations.
7.3,СП 16.13330.2017 «Стальные конструкции»,7.3,,21,26,Проверка устойчивости стенок и поясных листов центрально сжатых элементов сплошного сечения,normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.1,СП 16.13330.2017 «Стальные конструкции»,7.3.1,,21,22,При проверке устойчивости стенок расчетную высоту,normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.2,СП 16.13330.2017 «Стальные конструкции»,7.3.2,,22,23,"Устойчивость стенок центрально сжатых элементов сплошного сечения следует считать обеспеченной, если",normative,yes,yes,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.3,СП 16.13330.2017 «Стальные конструкции»,7.3.3,,23,24,"Стенки центрально сжатых элементов сплошного сечения (колонн, стоек, опор и т.п.) при исключением рассчитанных с учетом геометрической нелинейности конструкций, следует укреплять…",normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.4,СП 16.13330.2017 «Стальные конструкции»,7.3.4,,24,24,"В центрально сжатых элементах двутаврового сечения с расчетной высотой стенки стенки продольным ребром жесткости, расположенным посередине и с моментом инерции сечения",normative,yes,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.5,СП 16.13330.2017 «Стальные конструкции»,7.3.5,,24,24,"При расчете центрально- и внецентренно сжатых стержней сплошного сечения в случаях, когда фактическое",normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.6,СП 16.13330.2017 «Стальные конструкции»,7.3.6,,24,25,Значение для двутаврового и швеллерного сечений,normative,yes,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.7,СП 16.13330.2017 «Стальные конструкции»,7.3.7,,25,25,При проверке устойчивости поясных листов за расчетную ширину свеса от грани стенки до края поясного листа (полки) - в сварных элементах от оси крайнего болта в поясе до края поясн…,normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.8,СП 16.13330.2017 «Стальные конструкции»,7.3.8,,25,26,Устойчивость поясных листов (полок) центрально сжатых элементов сплошного сечения следует считать,normative,yes,yes,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.9,СП 16.13330.2017 «Стальные конструкции»,7.3.9,,26,26,"В центрально сжатых элементах коробчатого сечения предельную условную гибкость поясного листа следует принимать по таблице 10, как для стенок коробчатого сечения",normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.10,СП 16.13330.2017 «Стальные конструкции»,7.3.10,,26,26,"Высота отгиба быть не менее 0,3",normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
7.3.11,СП 16.13330.2017 «Стальные конструкции»,7.3.11,,26,26,"В случае, если проверка по предельной гибкости в двух плоскостях (раздел 10.4) является определяющей при",normative,no,no,no,implemented in v0.5 local-stability scope,"Clause content visually audited against PDF pages 22-26; executable formulas, table data, and procedure metadata are mapped in the inventories."
8,СП 16.13330.2017 «Стальные конструкции»,8,,26,47,Расчет элементов стальных конструкций при изгибе,normative,no,no,no,calculation or executable procedure,Page range is based on PDF page numbering; adjoining clauses may share a boundary page.
8.1,СП 16.13330.2017 «Стальные конструкции»,8.1,,26,27,Общие положения расчета В зависимости от назначения и условий эксплуатации конструкций расчет изгибаемых элементов (балок) следует выполнять без учета или с учетом пластических де…,normative,no,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2,СП 16.13330.2017 «Стальные конструкции»,8.2,,27,32,Расчет на прочность изгибаемых элементов сплошного сечения,normative,no,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.1,СП 16.13330.2017 «Стальные конструкции»,8.2.1,,27,28,Расчет на прочность балок 1-го класса следует выполнять по формулам при действии момента в одной из главных плоскостей,normative,yes,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.2,СП 16.13330.2017 «Стальные конструкции»,8.2.2,,28,29,"Расчет на прочность стенки балки, не укрепленной ребрами жесткости, при действии местного напряжения",normative,yes,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.3,СП 16.13330.2017 «Стальные конструкции»,8.2.3,,29,30,Расчет на прочность разрезных балок 2-го и 3-го классов двутаврового и коробчатого сечений (рисунок 7) из,normative,yes,yes,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.4,СП 16.13330.2017 «Стальные конструкции»,8.2.4,,30,30,Расчет на прочность разрезных балок переменного сечения согласно 8.2.3 с учетом пластических деформаций,normative,no,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.5,СП 16.13330.2017 «Стальные конструкции»,8.2.5,,30,31,Расчет на прочность неразрезных и защемленных балок постоянного двутаврового и коробчатого сечений с,normative,yes,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.6,СП 16.13330.2017 «Стальные конструкции»,8.2.6,,31,31,"Расчет на прочность неразрезных и защемленных балок, удовлетворяющих 8.2.5, в случае изгиба в двух главных",normative,no,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.7,СП 16.13330.2017 «Стальные конструкции»,8.2.7,,31,31,"Расчет на прочность неразрезных и защемленных балок, удовлетворяющих требованиям 8.2.5, 8.4.6, 8.5.8, 8.5.9 и",normative,no,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.2.8,СП 16.13330.2017 «Стальные конструкции»,8.2.8,,31,32,Расчет на прочность бистальных разрезных балок двутаврового и коробчатого сечений с двумя осями симметрии,normative,yes,no,no,implemented_in_v0.6,Selected v0.6 scope implemented with formula/table/procedure traceability; linked stability clauses remain separately unresolved where applicable.
8.3,СП 16.13330.2017 «Стальные конструкции»,8.3,,32,34,Расчет на прочность балок крановых путей сплошного сечения,normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.3.1,СП 16.13330.2017 «Стальные конструкции»,8.3.1,,32,32,Расчет на прочность балок крановых путей следует выполнять согласно 8.2.1 на действие вертикальных и,normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.3.2,СП 16.13330.2017 «Стальные конструкции»,8.3.2,,32,32,Расчет на прочность стенок балок крановых путей (за исключением балок для кранов групп режимов работы 7К,normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.3.3,СП 16.13330.2017 «Стальные конструкции»,8.3.3,,32,33,При расчете на прочность стенок балок крановых путей из стали с пределом текучести не более 440 Н/мм,normative,yes,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.3.4,СП 16.13330.2017 «Стальные конструкции»,8.3.4,,33,33,Расчет на прочность подвесных балок крановых путей (монорельсов) следует выполнять с учетом местных,normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.3.5,СП 16.13330.2017 «Стальные конструкции»,8.3.5,,33,34,Расчет на прочность бистальных балок крановых путей двутаврового сечения с двумя осями симметрии для,normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.4,СП 16.13330.2017 «Стальные конструкции»,8.4,,34,36,Расчет на общую устойчивость изгибаемых элементов сплошного сечения,normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.4.1,СП 16.13330.2017 «Стальные конструкции»,8.4.1,,34,34,"Расчет на устойчивость двутавровых балок 1-го класса, а также бистальных балок 2-го класса, удовлетворяющих",normative,yes,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.4.2,СП 16.13330.2017 «Стальные конструкции»,8.4.2,,34,34,"При определении значения закреплений сжатого пояса от поперечных смещений (узлами продольных или поперечных связей, точками крепления",normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.4.3,СП 16.13330.2017 «Стальные конструкции»,8.4.3,,34,34,"Расчет на устойчивость балок крановых путей двутаврового сечения следует выполнять по формуле (70), в",normative,no,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.4.4,СП 16.13330.2017 «Стальные конструкции»,8.4.4,,34,35,"Устойчивость балок 1-го класса, а также бистальных балок 2-го класса проверять не требуется а) при передаче нагрузки на балку через сплошной жесткий настил (железобетонные плиты и…",normative,yes,yes,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
8.4.5,СП 16.13330.2017 «Стальные конструкции»,8.4.5,,35,36,"Прикрепления к сжатому поясу жесткого настила, продольных или поперечных связей, которые должны",normative,yes,no,no,implemented in v0.7 selected scope,Page range is based on PDF page numbering; adjoining clauses may share a boundary page. Selected formulas/procedures visually audited and implemented in v0.7.
